simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
1,78.45128549946654,21.548714500533464,220291.20968250206,60508.790317497944
2,80.59955033200664,19.400449667993357,226323.53733227466,54476.46266772533
3,79.69656520703033,20.303434792969668,223787.95510134118,57012.0448986588
4,79.78215987064264,20.217840129357356,224028.30491676455,56771.695083235434
5,80.99767074138575,19.002329258614253,227441.4594418112,53358.540558188826
6,81.77594833402094,18.22405166597906,229626.8629219308,51173.13707806921
7,79.83507908317607,20.16492091682393,224176.9020655584,56623.0979344416
8,81.60391502286711,18.396084977132887,229143.79338421085,51656.20661578917
9,81.47250552558549,18.52749447441451,228774.79551584407,52025.20448415595
10,79.55854623762465,20.441453762375346,223400.39783525,57399.60216474999
11,78.72764893179999,21.27235106820001,221067.23820049438,59732.76179950563
12,79.80136347508785,20.198636524912146,224082.22863804668,56717.77136195332
13,79.7105945735622,20.289405426437796,223827.34956256268,56972.650437437325
14,81.14325968711863,18.85674031288137,227850.2732014291,52949.72679857089
15,80.08120167689819,19.91879832310181,224868.01430873014,55931.98569126988
16,78.1488846041604,21.8511153958396,219442.0679684824,61357.9320315176
17,80.30461248231529,19.695387517684708,225495.35185034137,55304.64814965864
18,80.25360067143885,19.746399328561154,225352.11068540026,55447.88931459976
19,79.0867962309591,20.913203769040905,222075.7238165331,58724.276183466856
20,78.8843956270112,21.1156043729888,221507.38292064745,59292.61707935252
21,79.38808940611372,20.61191059388628,222921.75505236734,57878.24494763269
22,80.09256746841888,19.907432531581122,224899.92945132023,55900.07054867977
23,79.4780375946577,20.521962405342293,223174.32956579883,57625.67043420119
24,79.1364948964308,20.863505103569196,222215.27766917768,58584.72233082233
25,79.7838395548015,20.216160445198497,224033.02146988263,56766.97853011737
26,80.41991476879117,19.580085231208827,225819.1206707656,54980.879329234376
27,79.70597670436845,20.294023295631547,223814.3825858666,56985.617414133376
28,79.29706709620339,20.702932903796608,222666.1644061391,58133.83559386091
29,79.59764009798023,20.402359902019768,223510.1733951285,57289.82660487147
30,77.39330985748094,22.606690142519057,217320.41407980648,63479.58592019353
31,81.4216277429649,18.5783722570351,228631.93070224544,52168.06929775456
32,79.64707123639248,20.352928763607522,223648.97603179008,57151.023968209905
33,77.17240946477162,22.82759053522838,216700.1257770787,64099.874222921324
34,78.94876110317918,21.05123889682082,221688.12117772712,59111.87882227289
35,79.83171165501585,20.16828834498415,224167.4463272845,56632.55367271553
36,79.74065055088673,20.259349449113273,223911.74674688993,56888.253253110066
37,80.0066710068932,19.9933289931068,224658.7321873561,56141.26781264391
38,79.53576155217227,20.464238447827725,223336.41843849974,57463.581561500265
39,78.72149643527102,21.27850356472898,221049.96199024102,59750.038009758995
40,80.4883271207081,19.511672879291893,226011.22255494836,54788.77744505165
41,78.88609803465043,21.11390196534957,221512.16328129842,59287.83671870158
42,79.93063852528992,20.069361474710078,224445.2329790141,56354.76702098589
43,79.75999940223862,20.24000059776138,223966.07832148604,56833.92167851397
44,80.32807028038118,19.671929719618817,225561.22134731035,55238.77865268964
45,78.38183538159674,21.618164618403256,220096.19375152365,60703.806248476365
46,80.12763069183706,19.872369308162945,224998.38698267844,55801.613017321564
47,79.18304851974118,20.816951480258822,222346.0002434332,58453.9997565668
48,79.78357108767796,20.216428912322044,224032.2676141997,56767.73238580029
49,80.00589890669272,19.99410109330728,224656.56412999314,56143.435870006826
50,80.20294516828542,19.797054831714576,225209.87003254547,55590.12996745455
51,78.38832216805885,21.61167783194115,220114.40864790927,60685.591352090734
52,80.18698297516606,19.81301702483394,225165.0481942663,55634.9518057337
53,79.21733833451616,20.782661665483843,222442.28604332136,58357.713956678606
54,79.48099965106191,20.519000348938093,223182.64702018184,57617.352979818155
55,79.17530169081219,20.82469830918781,222324.24714780063,58475.75285219935
56,79.32518698962163,20.674813010378372,222745.12506685755,58054.87493314244
57,79.5538225215834,20.4461774784166,223387.13364060616,57412.86635939384
58,79.97363554325165,20.026364456748354,224565.96860545065,56234.031394549354
59,78.46625118132904,21.533748818670958,220333.23331717195,60466.766682828056
60,78.59659253168815,21.403407468311855,220699.23182898032,60100.768171019685
61,80.63069203171992,19.369307968280083,226410.98322506953,54389.01677493047
62,79.37682862318486,20.623171376815137,222890.13477390312,57909.865226096874
63,79.7729148739788,20.227085126021194,224002.34496613248,56797.6550338675
64,79.07916476270071,20.920835237299286,222054.29465366362,58745.70534633637
65,78.68227582730883,21.31772417269117,220939.83052308322,59860.16947691681
66,80.61331601280217,19.386683987197827,226362.19136394848,54437.808636051515
